id,name,address,locality,latitude,longitude,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes,all_reviews_count,photo_count,has_online_delivery
18286921,La Table Du Chef - Hotel Bon Sejour,".252, Lenin Street, Kosapalayam, MG Road, Puducherry",MG Road,11.93362425,79.81202209,"Chinese, Continental, Indian, South Indian",1200,3.1,Average,11,5,15,0
3700372,Terrace Grill - Hotel Atithi,"Hotel Atithi, 126, SV Patel Salai, Heritage Town, Puducherry",Heritage Town,11.94218121,79.83088966,North Indian,1300,3.1,Average,49,26,54,0
3701166,The Shake Joint,"SVP Road, Heritage Town, Puducherry, Heritage Town",Heritage Town,11.94186237,79.83053025,"Beverages, Juices",200,3.1,Average,251,4,11,1
3700373,Toxic - Hotel Atithi,"Hotel Atithi, 126, SV Patel Salai, Heritage Town, Puducherry",Hotel Atithi,11.94191158,79.8310278,Finger Food,1000,3.1,Average,38,8,5,0
3700074,Bistro Multi Cuisine Restaurant,"140, Maraimagal Adigal Salai, Near New Bus Stand, MG Road, Puducherry",MG Road,11.93223,79.818055,"North Indian, South Indian, Chinese",500,3.1,Average,8,4,3,0
18993284,Thainese,"7, Providence Mall, Venkata Subbha Reddiyar, MG Road, Puducherry","Providence Mall, MG Road",11.929052,79.820051,Chinese,300,3.1,Average,204,3,3,1
3700300,The Cake Point,"484,Anna Salai, MG Road, Puducherry",MG Road,11.93125629,79.82397594,"Bakery, Desserts, Fast Food",400,3.1,Average,7,1,5,0
3700231,The Cake Point,"209/5A, City Plaza, Balaji Nagar, Villianur, Puducherry",Villianur,11.93097714,79.78913404,"Bakery, Desserts, Fast Food",150,3.1,Average,10,2,3,0
3700159,Earth Cafe - Palais De Mahe,"Door 4, Rue Bussy Street, Lal Bahadur Shastri Road, Opposite Profile Studio, White Town, Puducherry",Palais De Mahe,11.92831185,79.83397152,Cafe,800,3,Average,56,23,50,0
3700053,Kasha Ki Aasha,"23, Surcouf Street, Near Lycee French School, White Town, Puducherry",White Town,11.93045556,79.83142222,Continental,700,3,Average,78,48,83,0
3700131,Hotel Kathiiraa,"22, College Main Road, Lawspet, Puducherry",Lawspet,11.95543616,79.81842946,South Indian,100,3,Average,8,2,2,0
3700045,Cafe Coffee day,"Inside Hotel Ginger, Karuvadikuppam Oulgaret Municipality, Muthial Pet, Puducherry",Muthial Pet,11.95243294,79.82939903,"Beverages, Cafe, Sandwich, Fast Food, Desserts",650,3,Average,18,3,16,0
19328612,Arabian Bistro,"199, Vazhudavur Road, Thilaspet, Gandhinagar, Puducherry",Gandhinagar,11.941859,79.798272,Arabian,150,3,Average,26,5,16,1
3700717,Hyderabadi Briyani & Fast Food,"21, Airport Road, Lawspet, Puducherry",Lawspet,11.95731857,79.80981387,"Fast Food, Biryani",200,3,Average,8,0,2,0
3700228,Viruthunagar,"22, Airport Road, Lawspet, Puducherry",Lawspet,11.95748611,79.80950833,"South Indian, Ice Cream, Desserts",300,3,Average,6,0,4,0
3700350,Ozone Bar,"Rooftop, 2A, Anna Salai, Near Anandha Marriage Hall, Heritage Town, Puducherry",Heritage Town,11.9414553,79.8281233,"Chinese, North Indian, South Indian, Continental",300,3,Average,7,3,6,0
3700022,Villa Helena,"13, Bussy Street, White Town, Puducherry",White Town,11.92840075,79.83253587,"Continental, Italian",1200,2.9,Average,285,155,286,0
3700093,Appachi,"9, Rangapillai Street, MG Road Area, MG Road, Puducherry",MG Road,11.93589529,79.83009741,"Chettinad, Seafood",400,2.9,Average,159,90,101,0
3700182,Ponnusamy Hotel,"5, ECR Main Road, Near Vivekananda College, Lawspet, Puducherry",Lawspet,11.95321688,79.81972028,"Biryani, Chettinad, South Indian, Tamil, Andhra, Arabian, Chinese, Hyderabadi",600,2.9,Average,2922,42,23,1
3700291,Hotel Ariya Bhavan,"76, 100 Ft Road, Ellipilliaichavady, Gandhinagar, Puducherry",Gandhinagar,11.93295287,79.80771102,"South Indian, Chinese, North Indian",300,2.9,Average,10,4,9,0
3700084,Ecstasy – Anandha Inn,"Hotel Anandha Inn, 154, SV Patel Salai, Heritage Town, Puducherry",Heritage Town,11.94181317,79.82854877,Finger Food,800,2.9,Average,9,0,5,0
3700020,Satsanga,"54, Rue Labourdonnais, Beach Road, Near Law College & Public Works Department, White Town, Puducherry",White Town,11.92544906,79.83180128,"Italian, Seafood, North Indian",1000,2.8,Average,207,116,149,0
3700348,Spice Box,"2A, Anna Salai, Near Anandha Marriage Hall, Heritage Town, Puducherry",Heritage Town,11.94142381,79.82806262,"Chinese, North Indian, South Indian, Continental",300,2.8,Average,6,2,18,0
18993293,Go South,"7, Providence Mall, Venkata Subbha Reddiya, MG Road, Puducherry","Providence Mall, MG Road",11.929052,79.820051,"South Indian, Chettinad",400,2.8,Average,366,3,2,1
3701102,Fujian Express,"Providence Mall, Cuddalore Road, Orleanpet, Puducherry, MG Road, Puducherry","Providence Mall, MG Road",11.92894398,79.82036769,Chinese,600,2.8,Average,16,8,3,0
19146720,Sun Ice Cream Parlour,"33 Karuvadikuppam Road, Muthial Pet, Puducherry",Muthial Pet,11.94980327,79.83131182,"Pizza, Burger, Sandwich, Chinese, Beverages, Desserts, Ice Cream",250,2.7,Average,25,1,0,1
3700748,Sri Karpaga Vinayagar Chettinadu Mess,"203, Maraimalai Adigal Salai, Orleanpet, Mudaliarpet, Puducherry.",Mudaliarpet,11.93184708,79.81519707,South Indian,300,2.7,Average,6,1,3,0
